metric,scenario,comparison,n_seeds,stream_mean,stream_std,competitor_mean,competitor_std,mean_diff,ci_lower,ci_upper,t_stat,df,p_value,cohen_d,significant,winner
auc,correlation_flip,stream_vs_if,30,0.868647,0.010574,0.559528,0.014968,0.309119,0.304572,0.313575,92.3887,52.17,1.6726239827248404e-59,23.8547,True,stream
auc,correlation_flip,stream_vs_lof,30,0.868647,0.010574,0.791889,0.016562,0.076758,0.071144,0.082218,21.3959,49.27,1.3544468436738297e-26,5.5244,True,stream
auc,elliptical,stream_vs_if,30,0.603151,0.017184,0.509338,0.014737,0.093812,0.091243,0.096345,22.698,56.68,3.929093422796851e-30,5.8606,True,stream
auc,elliptical,stream_vs_lof,30,0.603151,0.017184,0.575942,0.017291,0.027208,0.024781,0.029666,6.1133,58.0,8.858428888723254e-08,1.5785,True,stream
auc,heavy_tail,stream_vs_if,30,0.793945,0.017466,0.536835,0.016559,0.25711,0.251167,0.262664,58.512,57.84,3.6401137396754097e-53,15.1077,True,stream
auc,heavy_tail,stream_vs_lof,30,0.793945,0.017466,0.733138,0.013889,0.060807,0.054341,0.067433,14.925,55.2,5.001386732205101e-21,3.8536,True,stream
f1,correlation_flip,stream_vs_if,30,0.646364,0.015089,0.20078,0.018404,0.445584,0.438405,0.452754,102.5502,55.85,2.724665397955279e-65,26.4784,True,stream
f1,correlation_flip,stream_vs_lof,30,0.646364,0.015089,0.437979,0.0333,0.208386,0.196295,0.219957,31.2201,40.43,6.438396846101204e-30,8.061,True,stream
f1,elliptical,stream_vs_if,30,0.177146,0.022237,0.159541,0.018045,0.017605,0.010954,0.024429,3.3672,55.64,0.0013831862341828279,0.8694,True,stream
f1,elliptical,stream_vs_lof,30,0.177146,0.022237,0.231384,0.020878,-0.054239,-0.060646,-0.047735,-9.7395,57.77,8.52212587085921e-14,-2.5147,True,lof
f1,heavy_tail,stream_vs_if,30,0.443619,0.033723,0.173307,0.015825,0.270312,0.257117,0.28273,39.745,41.18,1.7951783601543737e-34,10.2621,True,stream
f1,heavy_tail,stream_vs_lof,30,0.443619,0.033723,0.334856,0.028046,0.108763,0.093512,0.123927,13.5818,56.14,2.1896169976847214e-19,3.5068,True,stream
