scenario,d,rho,seed,detector,precision,recall,f1,auc,latency_ns
correlation_flip,10,0.75,0,stream,0.853659,0.527108,0.651769,0.864958,2133.3
correlation_flip,10,0.75,0,adaptive_0.85,0.609043,0.689759,0.646893,0.864958,886.2
correlation_flip,10,0.75,0,offline,0.806020,0.725904,0.763867,0.904975,0.0
correlation_flip,10,0.75,0,three_sigma,0.140351,0.024096,0.041131,0.487521,287.6
correlation_flip,10,0.75,1,stream,0.932961,0.515432,0.664016,0.861420,1103.3
correlation_flip,10,0.75,1,adaptive_0.85,0.685430,0.638889,0.661342,0.861420,681.5
correlation_flip,10,0.75,1,offline,0.880309,0.703704,0.782161,0.912545,458.5
correlation_flip,10,0.75,1,three_sigma,0.234043,0.033951,0.059299,0.510062,0.0
correlation_flip,10,0.75,2,stream,0.897297,0.483965,0.628788,0.864545,454.2
correlation_flip,10,0.75,2,adaptive_0.85,0.771536,0.600583,0.675410,0.864545,832.9
correlation_flip,10,0.75,2,offline,0.853659,0.714286,0.777778,0.913979,0.0
correlation_flip,10,0.75,2,three_sigma,0.169811,0.026239,0.045455,0.504039,249.3
correlation_flip,10,0.75,3,stream,0.901042,0.537267,0.673152,0.872069,711.8
correlation_flip,10,0.75,3,adaptive_0.85,0.683007,0.649068,0.665605,0.872069,615.1
correlation_flip,10,0.75,3,offline,0.853933,0.708075,0.774194,0.914490,457.5
correlation_flip,10,0.75,3,three_sigma,0.136364,0.018634,0.032787,0.518030,0.0
correlation_flip,10,0.75,4,stream,0.876344,0.488024,0.626923,0.845090,2771.6
correlation_flip,10,0.75,4,adaptive_0.85,0.605556,0.652695,0.628242,0.845090,687.4
correlation_flip,10,0.75,4,offline,0.837736,0.664671,0.741235,0.887946,352.8
correlation_flip,10,0.75,4,three_sigma,0.140351,0.023952,0.040921,0.477614,632.5
correlation_flip,10,0.75,5,stream,0.902857,0.486154,0.632000,0.862023,837.0
correlation_flip,10,0.75,5,adaptive_0.85,0.635258,0.643077,0.639144,0.862023,1159.3
correlation_flip,10,0.75,5,offline,0.857143,0.664615,0.748700,0.908296,0.0
correlation_flip,10,0.75,5,three_sigma,0.166667,0.018462,0.033241,0.488658,0.0
correlation_flip,10,0.75,6,stream,0.904762,0.516616,0.657692,0.859611,912.6
correlation_flip,10,0.75,6,adaptive_0.85,0.681818,0.634441,0.657277,0.859611,1029.2
correlation_flip,10,0.75,6,offline,0.843972,0.719033,0.776509,0.906702,695.1
correlation_flip,10,0.75,6,three_sigma,0.078947,0.009063,0.016260,0.487420,0.0
correlation_flip,10,0.75,7,stream,0.915789,0.514793,0.659091,0.863754,879.3
correlation_flip,10,0.75,7,adaptive_0.85,0.709150,0.642012,0.673913,0.863754,2763.5
correlation_flip,10,0.75,7,offline,0.835088,0.704142,0.764045,0.910358,0.0
correlation_flip,10,0.75,7,three_sigma,0.234043,0.032544,0.057143,0.509778,312.1
correlation_flip,10,0.75,8,stream,0.880208,0.487032,0.627087,0.854202,6843.0
correlation_flip,10,0.75,8,adaptive_0.85,0.672840,0.628242,0.649776,0.854202,1363.5
correlation_flip,10,0.75,8,offline,0.858182,0.680115,0.758842,0.903667,193.5
correlation_flip,10,0.75,8,three_sigma,0.129032,0.023055,0.039120,0.492680,0.0
correlation_flip,10,0.75,9,stream,0.873096,0.508876,0.642991,0.863133,682.8
correlation_flip,10,0.75,9,adaptive_0.85,0.652661,0.689349,0.670504,0.863133,6110.2
correlation_flip,10,0.75,9,offline,0.848592,0.713018,0.774920,0.902508,237.4
correlation_flip,10,0.75,9,three_sigma,0.142857,0.020710,0.036176,0.493627,0.0
correlation_flip,10,0.75,10,stream,0.894444,0.527869,0.663918,0.865882,526.0
correlation_flip,10,0.75,10,adaptive_0.85,0.626543,0.665574,0.645469,0.865882,786.4
correlation_flip,10,0.75,10,offline,0.820000,0.672131,0.738739,0.908230,456.6
correlation_flip,10,0.75,10,three_sigma,0.200000,0.039344,0.065753,0.486725,229.8
