scenario,d,rho,seed,detector,precision,recall,f1,auc,latency_per_point_ms
correlation_flip,10,0.75,0,isolation_forest,0.175758,0.174699,0.175227,0.545427,0.224503
correlation_flip,10,0.75,0,local_outlier_factor,0.439394,0.436747,0.438066,0.804023,0.024498
correlation_flip,10,0.75,1,isolation_forest,0.242424,0.246914,0.244648,0.581723,0.054818
correlation_flip,10,0.75,1,local_outlier_factor,0.493939,0.503086,0.498471,0.820466,0.023500
correlation_flip,10,0.75,2,isolation_forest,0.206061,0.198251,0.202080,0.543718,0.054980
correlation_flip,10,0.75,2,local_outlier_factor,0.466667,0.448980,0.457652,0.791825,0.022271
correlation_flip,10,0.75,3,isolation_forest,0.215152,0.220497,0.217791,0.565770,0.049049
correlation_flip,10,0.75,3,local_outlier_factor,0.484848,0.496894,0.490798,0.808275,0.022472
correlation_flip,10,0.75,4,isolation_forest,0.178788,0.176647,0.177711,0.534033,0.053096
correlation_flip,10,0.75,4,local_outlier_factor,0.445455,0.440120,0.442771,0.767966,0.026369
correlation_flip,10,0.75,5,isolation_forest,0.196970,0.200000,0.198473,0.545408,0.051596
correlation_flip,10,0.75,5,local_outlier_factor,0.427273,0.433846,0.430534,0.780145,0.022692
correlation_flip,10,0.75,6,isolation_forest,0.184848,0.184290,0.184569,0.559312,0.057035
correlation_flip,10,0.75,6,local_outlier_factor,0.409091,0.407855,0.408472,0.777945,0.022735
correlation_flip,10,0.75,7,isolation_forest,0.224242,0.218935,0.221557,0.572029,0.055208
correlation_flip,10,0.75,7,local_outlier_factor,0.490909,0.479290,0.485030,0.803594,0.023884
correlation_flip,10,0.75,8,isolation_forest,0.218182,0.207493,0.212703,0.559445,0.055668
correlation_flip,10,0.75,8,local_outlier_factor,0.430303,0.409222,0.419498,0.781400,0.022409
correlation_flip,10,0.75,9,isolation_forest,0.224242,0.218935,0.221557,0.569349,0.051975
correlation_flip,10,0.75,9,local_outlier_factor,0.390909,0.381657,0.386228,0.771247,0.023823
correlation_flip,10,0.75,10,isolation_forest,0.178788,0.193443,0.185827,0.555778,0.061899
correlation_flip,10,0.75,10,local_outlier_factor,0.421212,0.455738,0.437795,0.793349,0.023910
correlation_flip,10,0.75,11,isolation_forest,0.193939,0.199377,0.196621,0.545447,0.056172
correlation_flip,10,0.75,11,local_outlier_factor,0.372727,0.383178,0.377880,0.772002,0.023255
correlation_flip,10,0.75,12,isolation_forest,0.215152,0.207602,0.211310,0.582690,0.057048
correlation_flip,10,0.75,12,local_outlier_factor,0.439394,0.423977,0.431548,0.787499,0.025702
correlation_flip,10,0.75,13,isolation_forest,0.200000,0.180328,0.189655,0.552097,0.057666
correlation_flip,10,0.75,13,local_outlier_factor,0.427273,0.385246,0.405172,0.776937,0.021730
correlation_flip,10,0.75,14,isolation_forest,0.163636,0.179402,0.171157,0.532366,0.056934
correlation_flip,10,0.75,14,local_outlier_factor,0.472727,0.518272,0.494453,0.793611,0.024062
correlation_flip,10,0.75,15,isolation_forest,0.221212,0.206215,0.213450,0.564615,0.057079
correlation_flip,10,0.75,15,local_outlier_factor,0.448485,0.418079,0.432749,0.784829,0.024271
correlation_flip,10,0.75,16,isolation_forest,0.193939,0.186047,0.189911,0.558064,0.056787
correlation_flip,10,0.75,16,local_outlier_factor,0.415152,0.398256,0.406528,0.777079,0.022170
correlation_flip,10,0.75,17,isolation_forest,0.187879,0.173669,0.180495,0.538499,0.053100
correlation_flip,10,0.75,17,local_outlier_factor,0.433333,0.400560,0.416303,0.765369,0.024494
correlation_flip,10,0.75,18,isolation_forest,0.209091,0.212963,0.211009,0.582030,0.054664
correlation_flip,10,0.75,18,local_outlier_factor,0.421212,0.429012,0.425076,0.814147,0.029785
correlation_flip,10,0.75,19,isolation_forest,0.181818,0.193548,0.187500,0.543216,0.056801
correlation_flip,10,0.75,19,local_outlier_factor,0.406061,0.432258,0.418750,0.780038,0.022189
correlation_flip,10,0.75,20,isolation_forest,0.212121,0.192308,0.201729,0.550847,0.056289
correlation_flip,10,0.75,20,local_outlier_factor,0.421212,0.381868,0.400576,0.789063,0.021306
correlation_flip,10,0.75,21,isolation_forest,0.193939,0.184438,0.189069,0.570097,0.054479
correlation_flip,10,0.75,21,local_outlier_factor,0.430303,0.409222,0.419498,0.809898,0.022077
correlation_flip,10,0.75,22,isolation_forest,0.227273,0.219941,0.223547,0.568678,0.053571
correlation_flip,10,0.75,22,local_outlier_factor,0.415152,0.401760,0.408346,0.785779,0.022288
correlation_flip,10,0.75,23,isolation_forest,0.236364,0.232143,0.234234,0.575216,0.060145
correlation_flip,10,0.75,23,local_outlier_factor,0.457576,0.449405,0.453453,0.807689,0.023709
correlation_flip,10,0.75,24,isolation_forest,0.190909,0.193252,0.192073,0.569351,0.059591
correlation_flip,10,0.75,24,local_outlier_factor,0.433333,0.438650,0.435976,0.780969,0.022997
correlation_flip,10,0.75,25,isolation_forest,0.203030,0.203030,0.203030,0.566164,0.054045
correlation_flip,10,0.75,25,local_outlier_factor,0.469697,0.469697,0.469697,0.806229,0.023850
correlation_flip,10,0.75,26,isolation_forest,0.203030,0.215434,0.209048,0.561780,0.055160
correlation_flip,10,0.75,26,local_outlier_factor,0.460606,0.488746,0.474259,0.812540,0.020777
correlation_flip,10,0.75,27,isolation_forest,0.193939,0.186589,0.190193,0.558514,0.054048
correlation_flip,10,0.75,27,local_outlier_factor,0.427273,0.411079,0.419019,0.785894,0.024031
correlation_flip,10,0.75,28,isolation_forest,0.172727,0.177570,0.175115,0.546436,0.054493
correlation_flip,10,0.75,28,local_outlier_factor,0.454545,0.467290,0.460829,0.796732,0.023830
correlation_flip,10,0.75,29,isolation_forest,0.212121,0.212121,0.212121,0.587728,0.056752
correlation_flip,10,0.75,29,local_outlier_factor,0.493939,0.493939,0.493939,0.830135,0.022866
elliptical,10,0.75,0,isolation_forest,0.157576,0.156627,0.157100,0.518759,0.056535
elliptical,10,0.75,0,local_outlier_factor,0.212121,0.210843,0.211480,0.592632,0.024981
elliptical,10,0.75,1,isolation_forest,0.181818,0.185185,0.183486,0.535165,0.052024
elliptical,10,0.75,1,local_outlier_factor,0.272727,0.277778,0.275229,0.605006,0.022110
elliptical,10,0.75,2,isolation_forest,0.160606,0.154519,0.157504,0.488711,0.054821
elliptical,10,0.75,2,local_outlier_factor,0.242424,0.233236,0.237741,0.551405,0.022524
elliptical,10,0.75,3,isolation_forest,0.139394,0.142857,0.141104,0.503185,0.054086
elliptical,10,0.75,3,local_outlier_factor,0.227273,0.232919,0.230061,0.587805,0.024587
elliptical,10,0.75,4,isolation_forest,0.112121,0.110778,0.111446,0.497293,0.053932
elliptical,10,0.75,4,local_outlier_factor,0.206061,0.203593,0.204819,0.561369,0.024181
elliptical,10,0.75,5,isolation_forest,0.175758,0.178462,0.177099,0.499499,0.051718
elliptical,10,0.75,5,local_outlier_factor,0.251515,0.255385,0.253435,0.565548,0.022942
elliptical,10,0.75,6,isolation_forest,0.136364,0.135952,0.136157,0.507742,0.051712
elliptical,10,0.75,6,local_outlier_factor,0.193939,0.193353,0.193646,0.565120,0.023705
elliptical,10,0.75,7,isolation_forest,0.166667,0.162722,0.164671,0.522119,0.053630
elliptical,10,0.75,7,local_outlier_factor,0.254545,0.248521,0.251497,0.596777,0.023292
elliptical,10,0.75,8,isolation_forest,0.181818,0.172911,0.177253,0.511303,0.053554
elliptical,10,0.75,8,local_outlier_factor,0.236364,0.224784,0.230428,0.571459,0.023297
elliptical,10,0.75,9,isolation_forest,0.157576,0.153846,0.155689,0.506888,0.054917
elliptical,10,0.75,9,local_outlier_factor,0.209091,0.204142,0.206587,0.568522,0.024557
elliptical,10,0.75,10,isolation_forest,0.127273,0.137705,0.132283,0.515360,0.054684
elliptical,10,0.75,10,local_outlier_factor,0.206061,0.222951,0.214173,0.582716,0.024824
elliptical,10,0.75,11,isolation_forest,0.160606,0.165109,0.162826,0.505923,0.053229
elliptical,10,0.75,11,local_outlier_factor,0.236364,0.242991,0.239631,0.572051,0.024509
elliptical,10,0.75,12,isolation_forest,0.160606,0.154971,0.157738,0.519421,0.058951
elliptical,10,0.75,12,local_outlier_factor,0.239394,0.230994,0.235119,0.595706,0.023240
elliptical,10,0.75,13,isolation_forest,0.169697,0.153005,0.160920,0.493692,0.055653
elliptical,10,0.75,13,local_outlier_factor,0.233333,0.210383,0.221264,0.567659,0.024857
elliptical,10,0.75,14,isolation_forest,0.136364,0.149502,0.142631,0.485206,0.055031
elliptical,10,0.75,14,local_outlier_factor,0.209091,0.229236,0.218700,0.568066,0.025150
elliptical,10,0.75,15,isolation_forest,0.203030,0.189266,0.195906,0.505050,0.053904
elliptical,10,0.75,15,local_outlier_factor,0.257576,0.240113,0.248538,0.577549,0.023122
elliptical,10,0.75,16,isolation_forest,0.187879,0.180233,0.183976,0.506704,0.075419
elliptical,10,0.75,16,local_outlier_factor,0.242424,0.232558,0.237389,0.581165,0.027750
elliptical,10,0.75,17,isolation_forest,0.187879,0.173669,0.180495,0.498277,0.061595
elliptical,10,0.75,17,local_outlier_factor,0.263636,0.243697,0.253275,0.550356,0.024476
elliptical,10,0.75,18,isolation_forest,0.148485,0.151235,0.149847,0.518956,0.056419
elliptical,10,0.75,18,local_outlier_factor,0.230303,0.234568,0.232416,0.593129,0.023012
elliptical,10,0.75,19,isolation_forest,0.136364,0.145161,0.140625,0.473158,0.051660
elliptical,10,0.75,19,local_outlier_factor,0.212121,0.225806,0.218750,0.543163,0.022826
elliptical,10,0.75,20,isolation_forest,0.181818,0.164835,0.172911,0.509307,0.054682
elliptical,10,0.75,20,local_outlier_factor,0.248485,0.225275,0.236311,0.567418,0.022293
elliptical,10,0.75,21,isolation_forest,0.181818,0.172911,0.177253,0.523395,0.060611
elliptical,10,0.75,21,local_outlier_factor,0.266667,0.253602,0.259970,0.581246,0.024507
elliptical,10,0.75,22,isolation_forest,0.166667,0.161290,0.163934,0.522341,0.057652
elliptical,10,0.75,22,local_outlier_factor,0.254545,0.246334,0.250373,0.585136,0.023637
elliptical,10,0.75,23,isolation_forest,0.169697,0.166667,0.168168,0.519826,0.057497
elliptical,10,0.75,23,local_outlier_factor,0.227273,0.223214,0.225225,0.583049,0.023989
elliptical,10,0.75,24,isolation_forest,0.142424,0.144172,0.143293,0.507291,0.055951
elliptical,10,0.75,24,local_outlier_factor,0.187879,0.190184,0.189024,0.550686,0.026125
elliptical,10,0.75,25,isolation_forest,0.166667,0.166667,0.166667,0.514463,0.055420
elliptical,10,0.75,25,local_outlier_factor,0.248485,0.248485,0.248485,0.577835,0.027759
elliptical,10,0.75,26,isolation_forest,0.160606,0.170418,0.165367,0.529013,0.056428
elliptical,10,0.75,26,local_outlier_factor,0.254545,0.270096,0.262090,0.595538,0.026625
elliptical,10,0.75,27,isolation_forest,0.148485,0.142857,0.145617,0.499918,0.051313
elliptical,10,0.75,27,local_outlier_factor,0.233333,0.224490,0.228826,0.562026,0.025858
elliptical,10,0.75,28,isolation_forest,0.154545,0.158879,0.156682,0.500158,0.054118
elliptical,10,0.75,28,local_outlier_factor,0.203030,0.208723,0.205837,0.562407,0.026148
elliptical,10,0.75,29,isolation_forest,0.157576,0.157576,0.157576,0.542024,0.052725
elliptical,10,0.75,29,local_outlier_factor,0.221212,0.221212,0.221212,0.615722,0.025172
heavy_tail,10,0.75,0,isolation_forest,0.187879,0.186747,0.187311,0.521384,0.051256
heavy_tail,10,0.75,0,local_outlier_factor,0.363636,0.361446,0.362538,0.730348,0.025030
heavy_tail,10,0.75,1,isolation_forest,0.178788,0.182099,0.180428,0.530558,0.048518
heavy_tail,10,0.75,1,local_outlier_factor,0.318182,0.324074,0.321101,0.735601,0.024337
heavy_tail,10,0.75,2,isolation_forest,0.187879,0.180758,0.184250,0.540238,0.052401
heavy_tail,10,0.75,2,local_outlier_factor,0.300000,0.288630,0.294205,0.731130,0.022260
heavy_tail,10,0.75,3,isolation_forest,0.139394,0.142857,0.141104,0.541717,0.051533
heavy_tail,10,0.75,3,local_outlier_factor,0.312121,0.319876,0.315951,0.730277,0.023732
heavy_tail,10,0.75,4,isolation_forest,0.193939,0.191617,0.192771,0.556607,0.054528
heavy_tail,10,0.75,4,local_outlier_factor,0.363636,0.359281,0.361446,0.742441,0.025405
heavy_tail,10,0.75,5,isolation_forest,0.151515,0.153846,0.152672,0.524756,0.051227
heavy_tail,10,0.75,5,local_outlier_factor,0.275758,0.280000,0.277863,0.693739,0.025181
heavy_tail,10,0.75,6,isolation_forest,0.200000,0.199396,0.199697,0.577333,0.049673
heavy_tail,10,0.75,6,local_outlier_factor,0.357576,0.356495,0.357035,0.747939,0.025026
heavy_tail,10,0.75,7,isolation_forest,0.196970,0.192308,0.194611,0.557255,0.052499
heavy_tail,10,0.75,7,local_outlier_factor,0.324242,0.316568,0.320359,0.741102,0.024203
heavy_tail,10,0.75,8,isolation_forest,0.181818,0.172911,0.177253,0.526401,0.048948
heavy_tail,10,0.75,8,local_outlier_factor,0.318182,0.302594,0.310192,0.717127,0.022865
heavy_tail,10,0.75,9,isolation_forest,0.172727,0.168639,0.170659,0.526886,0.052453
heavy_tail,10,0.75,9,local_outlier_factor,0.369697,0.360947,0.365269,0.726004,0.024820
heavy_tail,10,0.75,10,isolation_forest,0.163636,0.177049,0.170079,0.517029,0.054622
heavy_tail,10,0.75,10,local_outlier_factor,0.321212,0.347541,0.333858,0.740174,0.024000
heavy_tail,10,0.75,11,isolation_forest,0.127273,0.130841,0.129032,0.518019,0.050991
heavy_tail,10,0.75,11,local_outlier_factor,0.351515,0.361371,0.356375,0.732581,0.023132
heavy_tail,10,0.75,12,isolation_forest,0.172727,0.166667,0.169643,0.550391,0.049301
heavy_tail,10,0.75,12,local_outlier_factor,0.351515,0.339181,0.345238,0.758106,0.023448
heavy_tail,10,0.75,13,isolation_forest,0.184848,0.166667,0.175287,0.512133,0.049582
heavy_tail,10,0.75,13,local_outlier_factor,0.357576,0.322404,0.339080,0.712081,0.027536
heavy_tail,10,0.75,14,isolation_forest,0.163636,0.179402,0.171157,0.532790,0.053541
heavy_tail,10,0.75,14,local_outlier_factor,0.306061,0.335548,0.320127,0.729190,0.023995
heavy_tail,10,0.75,15,isolation_forest,0.172727,0.161017,0.166667,0.539207,0.056562
heavy_tail,10,0.75,15,local_outlier_factor,0.318182,0.296610,0.307018,0.734502,0.024712
heavy_tail,10,0.75,16,isolation_forest,0.178788,0.171512,0.175074,0.508176,0.048686
heavy_tail,10,0.75,16,local_outlier_factor,0.363636,0.348837,0.356083,0.718520,0.024667
heavy_tail,10,0.75,17,isolation_forest,0.184848,0.170868,0.177584,0.528852,0.050913
heavy_tail,10,0.75,17,local_outlier_factor,0.342424,0.316527,0.328967,0.742640,0.025584
heavy_tail,10,0.75,18,isolation_forest,0.187879,0.191358,0.189602,0.552390,0.048148
heavy_tail,10,0.75,18,local_outlier_factor,0.354545,0.361111,0.357798,0.739869,0.024926
heavy_tail,10,0.75,19,isolation_forest,0.175758,0.187097,0.181250,0.546426,0.051967
heavy_tail,10,0.75,19,local_outlier_factor,0.357576,0.380645,0.368750,0.747273,0.024503
heavy_tail,10,0.75,20,isolation_forest,0.193939,0.175824,0.184438,0.546640,0.049207
heavy_tail,10,0.75,20,local_outlier_factor,0.318182,0.288462,0.302594,0.715828,0.023596
heavy_tail,10,0.75,21,isolation_forest,0.187879,0.178674,0.183161,0.573196,0.051605
heavy_tail,10,0.75,21,local_outlier_factor,0.303030,0.288184,0.295421,0.744600,0.023058
heavy_tail,10,0.75,22,isolation_forest,0.193939,0.187683,0.190760,0.537692,0.065643
heavy_tail,10,0.75,22,local_outlier_factor,0.366667,0.354839,0.360656,0.748749,0.023723
heavy_tail,10,0.75,23,isolation_forest,0.169697,0.166667,0.168168,0.543233,0.050831
heavy_tail,10,0.75,23,local_outlier_factor,0.366667,0.360119,0.363363,0.735991,0.024194
heavy_tail,10,0.75,24,isolation_forest,0.163636,0.165644,0.164634,0.526987,0.050725
heavy_tail,10,0.75,24,local_outlier_factor,0.342424,0.346626,0.344512,0.729446,0.025234
heavy_tail,10,0.75,25,isolation_forest,0.163636,0.163636,0.163636,0.534597,0.049077
heavy_tail,10,0.75,25,local_outlier_factor,0.375758,0.375758,0.375758,0.760577,0.023861
heavy_tail,10,0.75,26,isolation_forest,0.166667,0.176849,0.171607,0.539927,0.050113
heavy_tail,10,0.75,26,local_outlier_factor,0.293939,0.311897,0.302652,0.728860,0.022464
heavy_tail,10,0.75,27,isolation_forest,0.166667,0.160350,0.163447,0.528667,0.049403
heavy_tail,10,0.75,27,local_outlier_factor,0.342424,0.329446,0.335810,0.724144,0.022386
heavy_tail,10,0.75,28,isolation_forest,0.145455,0.149533,0.147465,0.518926,0.052994
heavy_tail,10,0.75,28,local_outlier_factor,0.366667,0.376947,0.371736,0.732528,0.023970
heavy_tail,10,0.75,29,isolation_forest,0.175758,0.175758,0.175758,0.546639,0.049420
heavy_tail,10,0.75,29,local_outlier_factor,0.293939,0.293939,0.293939,0.722774,0.023605
